"ID","Link","User","Date","Stars","Title","Text"
"1","https://www.amazon.com/gp/customer-reviews/R13DBCIHU7U5KP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000GAYQKY","kevdac84","16 Jan 2023","5.0","Best Casio I've owned","Arrived fast and I couldn't wait to setup everything which was easy .I highly suggest to watch a YouTube video on how to program if you've never programmed a Casio watch before. Reading the manuel is small and it'll be hard. I have 6 Casio watches, two of which are G-Shock. This is my favorite out of all of them. It seriously feels like I'm not even wearing it right now, wait am I?! Yes. Had to double check. Lol. Very comfortable watch and damn it looks good. One of the main reasons I bought this was not the price but because it's one of the very first G-Shock watches they made in Japan. And I was watching Speed movie and noticed this was the watch Keanu Reeves is wearing the entire movie. And this is the watch where they had a hockey player slap shock it and it didn't break. That's how it got popular and it still is. There's a reason for that, it lasts! Every Casio watch I own gets worn everyday as I switch them out depending on what I'm doing through the day. If I'm working on my truck, I'll wear the cheapest Casio watch so if it gets dirty, I don't really care but can still tell the time while I'm working on my truck or doing something. At work, I wear my Casio DW3502AE and that's one of my favorite watches to wear no matter what I'm wearing and got only $20 bucks, you'd think you paid more. I also have the Casio G shock DW9052 but it's pretty bulky and hard to read. I like the look but i hardly wear it. I love Casio and they make extremely reliable, slick and durable watches for anyone, casual, miliary and law enforcement. They're just indestructible and they have something for anyone."
"2","https://www.amazon.com/gp/customer-reviews/R3KMBHRQMOSTHT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000GAYQKY","dude","23 Jan 2023","5.0","I love it","I got this to see if I like the G-Shock square. Yeah, its the best! New to watches, but I thought I wouldn't like it as much as the smaller f91w. The increase premium feel makes me not want to wear the f91w! I thought it might feel/look too big. It's fine. Great simple look. Hourly chime is soft and not loud. I like that. I sync it up using time.gov every week and it keeps perfect time. Edit: I love this watch so much I decided to get the GW-5000u-1jf. I honestly just couldn't vibe with the color so I sent it back after a day. I preferred the look of this one. Plus this watch was basically in the movie Speed! After trying the Gw-5000u-1jf I like the softness of the band a lot. I wanted to put the same band on this watch but its around $48 and that's about how much I paid for the watch. So I settled on the Thailand band part number 10512401 for about $20 here on Amazon. It is a step up from the band that comes with this watch. It feels a bit better now... more soft. Not that it was bad before. The color looks like it actually blends better with the bezel now too. I hope they keep making this one. If they made a GW-5000U level watch with this color scheme id be all over it!"
"3","https://www.amazon.com/gp/customer-reviews/R3P7G1NIBKK42R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000GAYQKY","C-Tilly","30 Jan 2023","5.0","Great looking, super comfortable, and well built","I love this watch. I was on the fence with all the G-Shock square face variants. I chose the lowest cost, most basic model thinking I’d be unhappy with the screen contrast or build quality. Not at all! They’ve done a great job making this very nice watch for little money. I prefer not having the Bluetooth but the one thing I’d like is the rough solar. But not for the extra $100. Ended up liking the subtle color touches of the dw5600e face and I find the band comfortable. The whole watch is extremely light, making it easier to wear than my metal case watches. The case size is perfect too - not too big and not too small. Really happy with this watch and hope to have it for many years to come :)"
"4","https://www.amazon.com/gp/customer-reviews/R1UHPODDLCII7Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000GAYQKY","WichitaConsumer","08 Feb 2023","5.0","Best watch I'll ever own","I bought the dw5600 in an Army PX for $40 the year I turned 18. I've had four copies of this model in a row for 33 years since. I read that they are designed for 10 year life but I'm rough on them - I've used the case to hammer nails and crazy stuff like that. I have no need for any of the features or cost of the more expensive versions. I left the stopwatch running for a month once. I use the heck out of the light. Didn't seem to drain the battery much at all. I won't stop wearing them until I'm dead. They go surprisingly well with my business attire."
"5","https://www.amazon.com/gp/customer-reviews/R1B7TZZ8MWGJOJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000GAYQKY","Doris E. King","04 Feb 2023","5.0","Great watch for a simple but complicated person","Lightweight compared to my smart watch and I like the clean feeling I get while wearing. I personally can feel the weight of the electric currents from all the tech around us. This watch gives me a break from that electric current. Allowing me to relax in simplicity and enjoy life without the electric noise from my devices when I want to unplug. Also this watch is tough and I has no issues in the cold. Which my smart watch sometimes have when it’s gets to cold out. Well most electronics act up when it gets to cold out."
"6","https://www.amazon.com/gp/customer-reviews/RYZ6PR6MKVGZ3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000GAYQKY","Brad Parker","03 Feb 2023","5.0","I love it!","I wanted a good watch for work and only work but I already know I’m gonna wear this thing everyday lol I love it, it’s simple, has everything I need, it’s comfortable and it’s a G-Shock so I know it’s durable. It’s not drastically huge either, I looked at other G-shocks and they looked ENORMOUS!!! This is my first one and it’s perfect. I had the Casio (non Gshock) just like this growing up so it brings back memories. Super happy with my purchase."
"7","https://www.amazon.com/gp/customer-reviews/R1ATBNHJULGEJG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000GAYQKY","Michael C. Sasso","07 Feb 2023","5.0","Casio stands behind their watches","I own 5 different Casio watches. I gave it 5 stars because I never had any issues with the Casio watches that I purchased. The only issue ypu may have is with the photo listing has ""Fox Fire"" below the Casio name. Mine says ""illuminator"" on it. That is the only difference. It does not matter to me but it may if your looking for that specific wording of Fox Fire""."
"8","https://www.amazon.com/gp/customer-reviews/R3M823Q9YZWLQI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000GAYQKY","Eddie.C","05 Feb 2023","5.0","Fits a need","Basic G Shock at a decent price. Needed something rugged but not over complicated with functions I will never use. Good quality if you're in need of a decent digital watch. So used to analog chronometer watches I needed to relearn how to use the basic functions. Would recommend it."
"9","https://www.amazon.com/gp/customer-reviews/R3JIK21KVLQ67I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000GAYQKY","kingmanny","21 Jan 2023","5.0","Important Retro G-Shock","If you like or collect G-Shock watches as I do, this one belongs in your collection. Even if you don't the simplicity of form and function make this one a must have for casual use. G-Schocks come a lot more complex than this one, yet the basic look makes me a proud owner. I love this watch."
"10","https://www.amazon.com/gp/customer-reviews/R2PNA0HSG0VMR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000GAYQKY","alan spain","26 Jan 2023","5.0","Great from start to o delivery","Very rugged tough watch it wears easily on the wrist.its an easy to use watch with a great light I use it for everyday use .the fun part of this watch is you can do some mods on it such as bullbars and screen protector and NATO straps"
"11","https://www.amazon.com/gp/customer-reviews/R248CBXO49DKBT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000GAYQKY","Tyron","26 Jan 2023","5.0","Durable, Simple, Affordable, Effective.","5/5 my only complaint is the top ""Adjust"" button is frustratingly difficult to press down. If you are not using the stopwatch function frequently (such as in the gym) then it wouldn't bother you. Otherwise, simple, comfortable, hardy and exceptionally value proposition. 5 stars. Good job, Casio."
"12","https://www.amazon.com/gp/customer-reviews/R18SZUDS8S54SP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000GAYQKY","Maggie","19 Jan 2023","5.0","Great for Military","This watch has been with me through everything. If your looking for a first time watch and your about to go to military basic this watch is amazing. It’s with in military regulations for color. This watch has been through mud,sweat,tears,rain. And it still works!!! It also has a feature to set alarms and use as a stopwatch if that’s something your also wanting."
"13","https://www.amazon.com/gp/customer-reviews/R1HZ7OB9B5J718/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B000GAYQKY","Jene","07 Feb 2023","5.0","Great daily watch","This watch is indestructible. I’ve been wearing it for a few months now and plan on wearing it for years to come. Buy it."
